high_version, low_version, similarity
3.4.1, 1.3.1, 0.008162411050648808
3.4.1, 1.3.0, 0.008162411050648808
3.4.1, 1.3, 0.008162411050648808
3.4.1, 1.2.6, 0.008162411050648808
3.4.1, 1.2.5, 0.008162411050648808
3.4.1, 1.2.4, 0.008162411050648808
3.4.1, 1.2.3, 0.008162411050648808
3.4.1, 1.2.2, 0.008162411050648808
3.4.1, 1.2.1, 0.008162411050648808
3.4.1, 1.2, 0.008162411050648808
3.4.1, 1.1.4, 0.008162411050648808
3.4.1, 1.1.3.1, 0.008162411050648808
3.4.1, 1.1.3, 0.008162411050648808
3.4.1, 1.1.2, 0.008162411050648808
3.4.1, 1.1.1, 0.008162411050648808
3.4.1, 1.1, 0.008162411050648808
3.4.1, 1.0.4, 0.008162411050648808
3.4.1, 1.0.3, 0.008162411050648808
3.4.1, 1.0.2, 0.008162411050648808
3.4.1, 1.0.1, 0.008162411050648808
3.4.1, 1.0, 0.008162411050648808
3.4.0, 3.3.1, 0.8496279995808446
3.4.0, 3.3.0, 0.8496279995808446
3.4.0, 3.2.1, 0.7272346222361941
3.4.0, 3.2.0, 0.7263963114324636
3.4.0, 3.1.1, 0.6649900450592057
3.4.0, 3.1.0, 0.6304097244053233
3.4.0, 3.0.0, 0.6304097244053233
3.4.0, 2.2.4, 0.39306297809913027
3.4.0, 2.2.3, 0.38499423661322435
3.4.0, 2.2.2, 0.3844702923608928
3.4.0, 2.2.1, 0.3781829613329142
3.4.0, 2.2.0, 0.37786859478151524
3.4.0, 2.1.4, 0.18861993083935868
3.4.0, 2.1.3, 0.18861993083935868
3.4.0, 2.1.2, 0.18861993083935868
3.4.0, 2.1.1, 0.185685843026302
3.4.0, 2.1.0, 0.1845331656711726
3.4.0, 2.0.3, 0.14995284501729017
3.4.0, 2.0.2, 0.14995284501729017
3.4.0, 2.0.1, 0.1474379126060987
3.4.0, 2.0.0, 0.12878549722309546
3.4.0, 1.12.4, 0.23378392539033846
3.4.0, 1.12.3, 0.23378392539033846
3.4.0, 1.12.2, 0.23325998113800692
3.4.0, 1.12.1, 0.23325998113800692
3.4.0, 1.12.0, 0.23325998113800692
3.4.0, 1.11.3, 0.13769254951273185
3.4.0, 1.11.2, 0.13769254951273185
3.4.0, 1.11.1, 0.13769254951273185
3.4.0, 1.11.0, 0.13664466100806874
